Date,KC_Open,KC_High,KC_Low,KC_Close,KC_Adj_Close,KC_Volume
2018-06-01,153.149994,153.149994,153.149994,153.149994,153.149994,0
2018-06-03,null,null,null,null,null,null
2018-06-04,152.250000,152.250000,152.250000,152.250000,152.250000,0
2018-06-05,150.800003,150.800003,150.800003,150.800003,150.800003,0
2018-06-06,150.000000,150.000000,150.000000,150.000000,150.000000,0
2018-06-07,147.199997,147.199997,147.199997,147.199997,147.199997,0
2018-06-08,148.449997,148.449997,148.449997,148.449997,148.449997,0
2018-06-10,null,null,null,null,null,null
2018-06-11,148.199997,148.199997,148.199997,148.199997,148.199997,0
2018-06-12,148.699997,148.699997,148.699997,148.699997,148.699997,0
2018-06-13,148.250000,148.250000,148.250000,148.250000,148.250000,0
2018-06-14,147.750000,147.750000,147.750000,147.750000,147.750000,0
2018-06-15,147.399994,147.399994,147.399994,147.399994,147.399994,0
2018-06-17,null,null,null,null,null,null
2018-06-18,146.550003,146.550003,146.550003,146.550003,146.550003,0
2018-06-19,147.000000,147.000000,147.000000,147.000000,147.000000,0
2018-06-20,147.100006,147.100006,147.100006,147.100006,147.100006,0
2018-06-21,146.899994,146.899994,146.899994,146.899994,146.899994,0
2018-06-22,147.600006,147.600006,147.600006,147.600006,147.600006,0
2018-06-24,null,null,null,null,null,null
2018-06-25,147.899994,147.899994,147.899994,147.899994,147.899994,0
2018-06-26,148.350006,148.350006,148.350006,148.350006,148.350006,0
2018-06-27,148.449997,148.449997,148.449997,148.449997,148.449997,0
2018-06-28,147.050003,147.050003,147.050003,147.050003,147.050003,0
2018-06-29,146.699997,146.699997,146.699997,146.699997,146.699997,0
2018-07-01,null,null,null,null,null,null
2018-07-02,144.050003,144.050003,144.050003,144.050003,144.050003,94
2018-07-03,null,null,null,null,null,null
2018-07-05,143.050003,143.050003,143.050003,143.050003,143.050003,0
2018-07-06,147.399994,147.399994,147.399994,147.399994,147.399994,0
2018-07-08,null,null,null,null,null,null
2018-07-09,148.149994,148.149994,148.149994,148.149994,148.149994,0
2018-07-10,148.100006,148.100006,148.100006,148.100006,148.100006,0
2018-07-11,145.800003,145.800003,145.800003,145.800003,145.800003,0
2018-07-12,145.300003,145.300003,145.300003,145.300003,145.300003,0
2018-07-13,143.449997,143.449997,143.449997,143.449997,143.449997,0
2018-07-15,null,null,null,null,null,null
2018-07-16,143.949997,143.949997,143.949997,143.949997,143.949997,0
2018-07-17,142.850006,142.850006,142.850006,142.850006,142.850006,0
2018-07-18,141.949997,141.949997,141.949997,141.949997,141.949997,0
2018-07-19,142.300003,142.300003,142.300003,142.300003,142.300003,0
2018-07-20,144.050003,144.050003,144.050003,144.050003,144.050003,0
2018-07-22,null,null,null,null,null,null
2018-07-23,145.100006,145.100006,145.100006,145.100006,145.100006,0
2018-07-24,144.449997,144.449997,144.449997,144.449997,144.449997,0
2018-07-25,143.850006,143.850006,143.850006,143.850006,143.850006,0
2018-07-26,142.899994,142.899994,142.899994,142.899994,142.899994,0
2018-07-27,143.750000,143.750000,143.750000,143.750000,143.750000,0
2018-07-29,null,null,null,null,null,null
2018-07-30,144.500000,144.500000,144.500000,144.500000,144.500000,0
2018-07-31,143.149994,143.149994,143.149994,143.149994,143.149994,0
2018-08-01,141.449997,141.449997,141.449997,141.449997,141.449997,0
2018-08-02,140.399994,140.399994,140.399994,140.399994,140.399994,0
2018-08-03,141.550003,141.550003,141.550003,141.550003,141.550003,0
2018-08-05,null,null,null,null,null,null
2018-08-06,142.300003,142.300003,142.300003,142.300003,142.300003,0
2018-08-07,142.250000,142.250000,142.250000,142.250000,142.250000,0
2018-08-08,141.100006,141.100006,141.100006,141.100006,141.100006,0
2018-08-09,140.699997,140.699997,140.699997,140.699997,140.699997,92
2018-08-10,140.250000,140.250000,140.250000,140.250000,140.250000,0
2018-08-12,null,null,null,null,null,null
2018-08-13,139.600006,139.600006,139.600006,139.600006,139.600006,0
