"Date","Price","Open","High","Low","Change %"
"Oct 06, 2020","3,829.59","3,829.59","3,829.59","3,829.59","0.05%"
"Oct 05, 2020","3,827.84","3,872.00","3,878.24","3,827.38","-1.14%"
"Oct 04, 2020","3,872.00","3,872.00","3,872.00","3,872.00","0.06%"
"Oct 02, 2020","3,869.75","3,845.50","3,905.45","3,845.50","0.69%"
"Oct 01, 2020","3,843.25","3,827.00","3,858.50","3,797.32","0.47%"
"Sep 30, 2020","3,825.25","3,886.95","3,907.00","3,826.81","-1.54%"
"Sep 29, 2020","3,885.20","3,873.00","3,896.85","3,859.17","0.36%"
"Sep 28, 2020","3,871.25","3,887.00","3,887.47","3,830.20","-0.35%"
"Sep 25, 2020","3,885.00","3,827.00","3,893.85","3,824.43","1.57%"
"Sep 24, 2020","3,825.00","3,862.18","3,908.32","3,826.38","-0.75%"
"Sep 23, 2020","3,853.75","3,827.65","3,875.10","3,823.91","0.90%"
"Sep 22, 2020","3,819.34","3,789.50","3,841.65","3,777.77","1.03%"
"Sep 21, 2020","3,780.23","3,730.00","3,802.48","3,728.10","1.38%"
"Sep 18, 2020","3,728.88","3,715.11","3,739.00","3,710.59","0.41%"
"Sep 17, 2020","3,713.80","3,687.50","3,729.00","3,686.00","0.75%"
"Sep 16, 2020","3,686.00","3,700.10","3,720.00","3,680.16","-0.08%"
"Sep 15, 2020","3,689.00","3,691.91","3,704.26","3,668.11","-0.00%"
"Sep 14, 2020","3,689.13","3,705.50","3,723.50","3,667.00","-0.40%"
"Sep 11, 2020","3,703.88","3,710.10","3,726.10","3,688.00","-0.12%"
"Sep 10, 2020","3,708.48","3,713.91","3,716.66","3,675.00","0.08%"
"Sep 09, 2020","3,705.34","3,739.00","3,739.38","3,708.52","-0.85%"
"Sep 08, 2020","3,737.00","3,715.00","3,773.36","3,713.31","0.73%"
"Sep 07, 2020","3,710.00","3,715.00","3,717.06","3,712.94","-0.09%"
"Sep 04, 2020","3,713.38","3,691.10","3,723.00","3,671.60","0.67%"
"Sep 03, 2020","3,688.53","3,658.00","3,696.96","3,620.71","0.89%"
"Sep 02, 2020","3,656.00","3,679.00","3,691.77","3,641.75","-0.37%"
"Sep 01, 2020","3,669.69","3,740.45","3,741.76","3,662.50","-1.87%"
"Aug 31, 2020","3,739.71","3,745.50","3,767.20","3,728.57","-0.11%"
"Aug 28, 2020","3,744.00","3,816.43","3,837.24","3,739.40","-1.85%"
"Aug 27, 2020","3,814.46","3,839.10","3,850.00","3,805.19","-0.39%"
"Aug 26, 2020","3,829.41","3,867.90","3,881.20","3,826.25","-0.87%"
"Aug 25, 2020","3,863.08","3,856.50","3,888.00","3,834.57","0.25%"
"Aug 24, 2020","3,853.44","3,836.00","3,859.00","3,808.50","0.53%"
