Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,417.750000,417.750000,417.750000,417.750000,417.750000,0
2018-12-18,421.250000,421.250000,421.250000,421.250000,421.250000,0
2018-12-19,421.250000,421.250000,421.250000,421.250000,421.250000,0
2018-12-20,418.500000,418.500000,418.500000,418.500000,418.500000,0
2018-12-21,418.250000,418.250000,418.250000,418.250000,418.250000,5
2018-12-23,null,null,null,null,null,null
2018-12-24,null,null,null,null,null,null
2018-12-26,416.500000,416.500000,416.500000,416.500000,416.500000,0
2018-12-27,417.250000,417.250000,417.250000,417.250000,417.250000,0
2018-12-28,418.500000,418.500000,418.500000,418.500000,418.500000,0
2018-12-30,null,null,null,null,null,null
2018-12-31,419.750000,419.750000,419.750000,419.750000,419.750000,0
2019-01-02,420.000000,420.000000,420.000000,420.000000,420.000000,0
2019-01-03,421.500000,421.500000,421.500000,421.500000,421.500000,0
2019-01-04,423.000000,423.000000,423.000000,423.000000,423.000000,0
2019-01-06,null,null,null,null,null,null
2019-01-07,423.250000,423.250000,423.250000,423.250000,423.250000,0
2019-01-08,422.250000,422.250000,422.250000,422.250000,422.250000,0
2019-01-09,422.250000,422.250000,422.250000,422.250000,422.250000,0
2019-01-10,419.500000,419.500000,419.500000,419.500000,419.500000,0
2019-01-11,421.250000,421.250000,421.250000,421.250000,421.250000,0
2019-01-13,null,null,null,null,null,null
2019-01-14,421.000000,421.000000,421.000000,421.000000,421.000000,0
2019-01-15,418.500000,418.500000,418.500000,418.500000,418.500000,0
2019-01-16,419.750000,419.750000,419.750000,419.750000,419.750000,0
2019-01-17,421.750000,421.750000,421.750000,421.750000,421.750000,0
2019-01-18,421.500000,421.500000,421.500000,421.500000,421.500000,0
2019-01-20,null,null,null,null,null,null
2019-01-22,420.750000,420.750000,420.750000,420.750000,420.750000,0
2019-01-23,422.000000,422.000000,422.000000,422.000000,422.000000,0
2019-01-24,422.000000,422.000000,422.000000,422.000000,422.000000,0
2019-01-25,425.500000,425.500000,425.500000,425.500000,425.500000,0
2019-01-27,null,null,null,null,null,null
2019-01-28,425.500000,425.500000,425.500000,425.500000,425.500000,0
2019-01-29,424.750000,424.750000,424.750000,424.750000,424.750000,0
2019-01-30,425.750000,425.750000,425.750000,425.750000,425.750000,0
2019-01-31,423.500000,423.500000,423.500000,423.500000,423.500000,0
2019-02-01,424.750000,424.750000,424.750000,424.750000,424.750000,0
2019-02-03,null,null,null,null,null,null
2019-02-04,424.000000,424.000000,424.000000,424.000000,424.000000,0
2019-02-05,424.250000,424.250000,424.250000,424.250000,424.250000,0
2019-02-06,424.250000,424.250000,424.250000,424.250000,424.250000,0
2019-02-07,423.500000,423.500000,423.500000,423.500000,423.500000,0
2019-02-08,423.000000,423.000000,423.000000,423.000000,423.000000,0
2019-02-10,null,null,null,null,null,null
2019-02-11,425.500000,425.500000,425.500000,425.500000,425.500000,0
2019-02-12,427.750000,427.750000,427.750000,427.750000,427.750000,0
2019-02-13,427.500000,427.500000,427.500000,427.500000,427.500000,0
2019-02-14,425.750000,425.750000,425.750000,425.750000,425.750000,0
