Date,Open,High,Low,Close,Adj Close,Volume
2018-07-18,105.758003,105.789001,105.750000,105.765999,105.765999,155616
2018-07-19,105.773003,105.835999,105.726997,105.811996,105.811996,311246
2018-07-20,105.811996,105.828003,105.780998,105.796997,105.796997,260578
2018-07-22,105.796875,105.804688,105.789063,105.804688,105.804688,16452
2018-07-23,105.796997,105.828003,105.726997,105.734001,105.734001,270162
2018-07-24,105.734001,105.765999,105.710999,105.734001,105.734001,341656
2018-07-25,105.726997,105.750000,105.671997,105.719002,105.719002,375997
2018-07-26,105.680000,105.703003,105.655998,105.664001,105.664001,298640
2018-07-27,105.664001,105.688004,105.648003,105.671997,105.671997,226550
2018-07-29,105.679688,105.687500,105.671875,105.671875,105.671875,22748
2018-07-30,105.680000,105.695000,105.655998,105.680000,105.680000,175898
2018-07-31,105.695000,105.734001,105.671997,105.688004,105.688004,305661
2018-08-01,105.671997,105.703003,105.648003,105.664001,105.664001,307628
2018-08-02,105.664001,105.719002,105.664001,105.710999,105.710999,262168
2018-08-03,105.703003,105.750000,105.680000,105.750000,105.750000,248377
2018-08-05,105.742188,105.750000,105.742188,105.742188,105.742188,15272
2018-08-06,105.741997,105.758003,105.719002,105.734001,105.734001,189709
2018-08-07,105.734001,105.741997,105.695000,105.703003,105.703003,200891
2018-08-08,105.695000,105.726997,105.695000,105.695000,105.695000,228722
2018-08-09,105.703003,105.758003,105.695000,105.750000,105.750000,258575
2018-08-10,105.750000,105.866997,105.741997,105.859001,105.859001,430783
2018-08-12,105.851563,105.882813,105.835938,105.835938,105.835938,221138
2018-08-13,105.851997,105.883003,105.796997,105.820000,105.820000,491681
2018-08-14,105.811996,105.820000,105.765999,105.789001,105.789001,233482
2018-08-15,105.773003,105.875000,105.765999,105.844002,105.844002,530453
2018-08-16,105.828003,105.835999,105.780998,105.805000,105.805000,279503
2018-08-17,105.811996,105.851997,105.796997,105.811996,105.811996,268720
2018-08-19,105.828125,105.828125,105.812500,105.820313,105.820313,27207
2018-08-20,105.828003,105.883003,105.811996,105.875000,105.875000,257778
2018-08-21,105.875000,105.883003,105.828003,105.835999,105.835999,231008
2018-08-22,105.859001,105.883003,105.835999,105.851997,105.851997,506530
2018-08-23,105.859001,105.866997,105.805000,105.835999,105.835999,396169
2018-08-24,105.811996,105.820000,105.773003,105.805000,105.805000,726757
2018-08-26,105.812500,105.820313,105.804688,105.804688,105.804688,31506
2018-08-27,105.811996,105.820000,105.773003,105.780998,105.780998,911508
2018-08-28,105.773003,105.789001,105.734001,105.758003,105.758003,1295893
2018-08-29,105.741997,105.765999,105.703003,105.719002,105.719002,810591
