Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,57.509998,57.509998,57.509998,57.509998,57.509998,0
2018-06-03,null,null,null,null,null,null
2018-06-04,57.099998,57.099998,57.099998,57.099998,57.099998,0
2018-06-05,57.320000,57.320000,57.320000,57.320000,57.320000,0
2018-06-06,57.119999,57.119999,57.119999,57.119999,57.119999,0
2018-06-07,57.650002,57.650002,57.650002,57.650002,57.650002,0
2018-06-08,57.830002,57.830002,57.830002,57.830002,57.830002,0
2018-06-10,null,null,null,null,null,null
2018-06-11,58.090000,58.090000,58.090000,58.090000,58.090000,0
2018-06-12,58.029999,58.029999,58.029999,58.029999,58.029999,0
2018-06-13,59.020000,59.020000,59.020000,59.020000,59.020000,0
2018-06-14,58.279999,58.279999,58.279999,58.279999,58.279999,0
2018-06-15,58.279999,58.279999,56.660000,56.660000,56.660000,185
2018-06-17,null,null,null,null,null,null
2018-06-18,57.380001,57.380001,57.380001,57.380001,57.380001,0
2018-06-19,57.020000,57.020000,57.020000,57.020000,57.020000,0
2018-06-20,56.970001,56.970001,56.970001,56.970001,56.970001,0
2018-06-21,56.630001,56.630001,56.630001,56.630001,56.630001,0
2018-06-22,57.980000,57.980000,57.980000,57.980000,57.980000,0
2018-06-24,null,null,null,null,null,null
2018-06-25,58.060001,58.060001,58.060001,58.060001,58.060001,0
2018-06-26,59.200001,59.200001,59.200001,59.200001,59.200001,0
2018-06-27,59.360001,59.360001,59.360001,59.360001,59.360001,0
2018-06-28,58.880001,58.880001,58.880001,58.880001,58.880001,0
2018-06-29,58.549999,58.549999,58.549999,58.549999,58.549999,0
2018-07-01,null,null,null,null,null,null
2018-07-02,58.189999,58.189999,58.189999,58.189999,58.189999,0
2018-07-03,null,null,null,null,null,null
2018-07-05,58.450001,58.450001,58.450001,58.450001,58.450001,0
2018-07-06,58.990002,58.990002,58.990002,58.990002,58.990002,0
2018-07-08,null,null,null,null,null,null
2018-07-09,59.299999,59.299999,59.299999,59.299999,59.299999,0
2018-07-10,59.360001,59.360001,59.360001,59.360001,59.360001,0
2018-07-11,57.619999,57.619999,57.619999,57.619999,57.619999,0
2018-07-12,58.509998,58.509998,58.509998,58.509998,58.509998,0
2018-07-13,58.450001,58.450001,58.450001,58.450001,58.450001,0
2018-07-15,null,null,null,null,null,null
2018-07-16,56.540001,56.540001,56.540001,56.540001,56.540001,0
2018-07-17,56.820000,56.820000,56.820000,56.820000,56.820000,0
2018-07-18,57.529999,57.529999,57.529999,57.529999,57.529999,0
2018-07-19,57.590000,57.590000,57.590000,57.590000,57.590000,0
2018-07-20,57.790001,57.790001,57.790001,57.790001,57.790001,0
2018-07-22,null,null,null,null,null,null
2018-07-23,58.740002,58.740002,58.740002,58.740002,58.740002,0
2018-07-24,59.220001,59.220001,59.220001,59.220001,59.220001,0
2018-07-25,59.730000,59.730000,59.730000,59.730000,59.730000,0
2018-07-26,59.959999,59.959999,59.959999,59.959999,59.959999,0
2018-07-27,59.470001,59.470001,59.470001,59.470001,59.470001,0
2018-07-29,null,null,null,null,null,null
2018-07-30,59.590000,59.590000,59.590000,59.590000,59.590000,0
2018-07-31,59.130001,59.130001,59.130001,59.130001,59.130001,0
2018-08-01,58.230000,58.230000,58.230000,58.230000,58.230000,0
2018-08-02,58.599998,58.599998,58.599998,58.599998,58.599998,0
2018-08-03,58.709999,58.709999,58.709999,58.709999,58.709999,0
2018-08-05,null,null,null,null,null,null
2018-08-06,59.080002,59.080002,59.080002,59.080002,59.080002,0
2018-08-07,59.669998,59.669998,59.669998,59.669998,59.669998,0
2018-08-08,58.270000,58.270000,58.270000,58.270000,58.270000,0
2018-08-09,58.509998,58.509998,58.509998,58.509998,58.509998,0
2018-08-10,58.549999,58.549999,58.549999,58.549999,58.549999,0
2018-08-12,null,null,null,null,null,null
2018-08-13,58.139999,58.139999,58.139999,58.139999,58.139999,0
2018-08-14,58.430000,58.430000,58.430000,58.430000,58.430000,0
2018-08-15,57.549999,57.549999,57.549999,57.549999,57.549999,0
