Coffee Date,Coffee Price,coffee comm. Net_Position,cocoa comm. Net_Position,sugar comm. Net_Position,Coffee Vol.,Coffee Price Change%,Coffee Price Change% shifted,Coffee Price shifted
2015-07-19,122.24999999999999,23534,-56671,53339,53.03K,-3.74%,0.0329,127.0
2015-07-26,125.25,29014,-51721,66929,81.67K,2.45%,-0.0374,122.24999999999999
2015-08-02,127.8,24300,-46554,73181,107.92K,2.04%,0.0245,125.25
2015-08-09,137.5,9751,-33603,83692,159.09K,7.59%,0.0204,127.8
2015-08-16,121.9,-872,-28639,85865,52.19K,-11.35%,0.0759,137.5
2015-08-23,120.45000000000002,19846,-26041,88105,0.20K,-1.19%,-0.11349999999999999,121.9
2015-08-30,115.84999999999998,24718,-28802,60832,0.03K,-3.82%,-0.011899999999999999,120.45000000000002
2015-09-06,113.35,28991,-34993,21445,0.03K,-2.16%,-0.0382,115.84999999999998
2015-09-13,113.35,31970,-38217,10587,0.05K,0.00%,-0.0216,113.35
2015-09-20,122.7,33328,-39447,30507,77.93K,8.25%,0.0,113.35
2015-09-27,124.29999999999998,29040,-40143,-13940,76.26K,1.30%,0.0825,122.7
2015-10-04,131.6,21131,-33300,-75619,96.94K,5.87%,0.013000000000000001,124.29999999999998
2015-10-11,125.85,10068,-27611,-104459,108.36K,-4.37%,0.0587,131.6
2015-10-18,118.45000000000002,9930,-26824,-113917,73.57K,-5.88%,-0.0437,125.85
2015-10-25,120.95,19354,-27334,-125865,73.30K,2.11%,-0.0588,118.45000000000002
2015-11-01,117.75,23886,-35005,-153098,96.51K,-2.65%,0.021099999999999997,120.95
2015-11-08,112.15000000000002,29201,-42812,-134851,128.85K,-4.76%,-0.0265,117.75
2015-11-15,121.9,36106,-56282,-137885,37.63K,8.69%,-0.047599999999999996,112.15000000000002
2015-11-22,121.0,26297,-57242,-161164,0.27K,-0.74%,0.08689999999999999,121.9
2015-11-29,124.0,26166,-57076,-163208,0.07K,2.48%,-0.0074,121.0
2015-12-06,118.10000000000001,14784,-59319,-167833,0.05K,-4.76%,0.0248,124.0
2015-12-13,118.45000000000002,15864,-58161,-149611,0.03K,0.30%,-0.047599999999999996,118.10000000000001
2015-12-20,119.7,21545,-51914,-162649,32.19K,1.06%,0.003,118.45000000000002
2015-12-27,126.70000000000002,20556,-49166,-153300,36.69K,5.85%,0.0106,119.7
2016-01-03,119.0,13365,-45190,-147614,79.33K,-6.08%,0.058499999999999996,126.70000000000002
2016-01-10,114.9,27681,-24782,-122040,92.12K,-3.45%,-0.0608,119.0
2016-01-17,115.99999999999999,32078,-20766,-150570,79.65K,0.96%,-0.0345,114.9
2016-01-24,116.35,29911,-17790,-114304,100.52K,0.30%,0.0096,115.99999999999999
2016-01-31,120.39999999999999,18673,-12773,-53201,109.77K,3.48%,0.003,116.35
2016-02-07,115.55,14936,-11804,-34186,135.92K,-4.03%,0.0348,120.39999999999999
2016-02-14,115.75,20357,-9978,-21934,45.36K,0.17%,-0.0403,115.55
2016-02-21,112.99999999999999,16654,-13374,-9142,0.54K,-2.38%,0.0017000000000000001,115.75
2016-02-28,118.8,27026,-15832,-34067,0.13K,5.13%,-0.023799999999999998,112.99999999999999
2016-03-06,124.4,13711,-18694,-75065,0.06K,4.71%,0.0513,118.8
2016-03-13,133.85,-5690,-22353,-103198,0.02K,7.60%,0.0471,124.4
2016-03-20,127.55000000000001,-19523,-26642,-154766,77.33K,-4.71%,0.076,133.85
2016-03-27,127.25,-19068,-25812,-172116,94.74K,-0.24%,-0.0471,127.55000000000001
2016-04-03,120.45000000000002,-8760,-20133,-159886,131.87K,-5.34%,-0.0024,127.25
2016-04-10,122.95,-2376,-17735,-132753,91.61K,2.08%,-0.053399999999999996,120.45000000000002
2016-04-17,122.75,-5495,-23078,-131463,21.97K,-0.16%,0.0208,122.95
2016-04-24,120.85,-1807,-35121,-160756,0.39K,-1.55%,-0.0016,122.75
2016-05-01,123.44999999999999,11964,-43187,-179204,0.33K,2.15%,-0.0155,120.85
2016-05-08,128.8,2723,-44217,-201678,0.04K,4.33%,0.0215,123.44999999999999
2016-05-15,124.70000000000002,-12789,-33173,-224384,45.26K,-3.18%,0.0433,128.8
2016-05-22,121.30000000000001,-3046,-16876,-233099,81.85K,-2.73%,-0.0318,124.70000000000002
2016-05-29,127.1,7078,-12750,-243310,92.74K,4.78%,-0.0273,121.30000000000001
2016-06-05,136.95,-2375,-16788,-255084,202.77K,7.75%,0.0478,127.1
2016-06-12,140.75,-19137,-24513,-264313,81.01K,2.77%,0.0775,136.95
2016-06-19,134.35,-27000,-26794,-280073,15.40K,-4.55%,0.0277,140.75
2016-06-26,144.85,-29036,-26713,-279803,0.31K,7.82%,-0.0455,134.35
2016-07-03,142.75,-32792,-29258,-277106,0.10K,-1.45%,0.0782,144.85
2016-07-10,145.7,-35314,-32706,-274326,0.03K,2.07%,-0.014499999999999999,142.75
2016-07-17,141.9,-36489,-31718,-264468,53.55K,-2.61%,0.0207,145.7
2016-07-24,146.2,-35137,-15035,-260990,75.10K,3.03%,-0.026099999999999998,141.9
2016-07-31,142.5,-32898,-8532,-257005,107.40K,-2.53%,0.030299999999999997,146.2
2016-08-07,136.85,-29699,-13849,-275769,115.14K,-3.96%,-0.0253,142.5
2016-08-14,138.8,-24428,-24490,-274582,47.18K,1.42%,-0.039599999999999996,136.85
2016-08-21,143.9,-27832,-36505,-276388,4.94K,3.67%,0.014199999999999999,138.8
2016-08-28,150.1,-27816,-32101,-278293,0.07K,4.31%,0.036699999999999997,143.9
2016-09-04,149.95,-38718,-26964,-260244,0.03K,-0.10%,0.0431,150.1
2016-09-11,147.1,-38160,-10973,-261991,0.06K,-1.90%,-0.001,149.95
2016-09-18,151.4,-39951,-8389,-286600,67.40K,2.92%,-0.019,147.1
2016-09-25,151.55,-37498,-13342,-290985,87.10K,0.10%,0.0292,151.4
2016-10-02,148.0,-31973,-12779,-290127,88.30K,-2.34%,0.001,151.55
2016-10-09,155.4,-31306,-12649,-278481,91.67K,5.00%,-0.023399999999999997,148.0
2016-10-16,156.1,-39040,-13910,-267191,80.32K,0.45%,0.05,155.4
2016-10-23,165.5,-51090,-14836,-259687,120.02K,6.02%,0.0045000000000000005,156.1
2016-10-30,171.35,-55917,-16316,-224903,121.02K,3.53%,0.0602,165.5
2016-11-06,159.45,-58960,-7265,-230368,191.82K,-6.94%,0.0353,171.35
2016-11-13,157.85,-51553,3018,-213006,48.21K,-1.00%,-0.0694,159.45
2016-11-20,152.3,-49076,10454,-159080,0.85K,-3.52%,-0.01,157.85
2016-11-27,141.2,-40758,8973,-154268,0.33K,-7.29%,-0.0352,152.3
2016-12-04,135.55,-23857,10880,-156972,0.03K,-4.00%,-0.0729,141.2
2016-12-11,138.2,-16967,21606,-136190,0.03K,1.95%,-0.04,135.55
2016-12-18,136.15,-14817,23356,-120426,43.74K,-1.48%,0.0195,138.2
2016-12-25,137.05,-7811,22618,-112783,50.73K,0.66%,-0.0148,136.15
2017-01-01,142.85,-5104,22436,-121294,65.92K,4.23%,0.0066,137.05
2017-01-08,149.3,-11037,21563,-140978,95.38K,4.52%,0.042300000000000004,142.85
2017-01-15,153.2,-18802,19557,-150091,56.06K,2.61%,0.0452,149.3
2017-01-22,152.4,-25281,24593,-151277,84.00K,-0.52%,0.026099999999999998,153.2
2017-01-29,146.25,-25043,27055,-147058,112.21K,-4.04%,-0.0052,152.4
2017-02-05,145.75,-19881,29403,-161838,112.60K,-0.34%,-0.0404,146.25
2017-02-12,147.8,-17511,30246,-145848,48.50K,1.41%,-0.0034000000000000002,145.75
2017-02-19,144.4,-21489,30405,-153778,0.42K,-2.30%,0.0141,147.8
2017-02-26,141.25,-18395,37943,-126240,0.13K,-2.18%,-0.023,144.4
2017-03-05,139.65,-14276,39679,-107669,0.02K,-1.13%,-0.0218,141.25
2017-03-12,140.8,-10985,38949,-82014,0.03K,0.82%,-0.0113,139.65
2017-03-19,137.6,-13637,30781,-65428,45.01K,-2.27%,0.008199999999999999,140.8
2017-03-26,139.3,-3488,24933,-54278,65.41K,1.24%,-0.0227,137.6
2017-04-02,140.05,-2703,21848,-36846,105.99K,0.54%,0.0124,139.3
2017-04-09,138.9,-4009,28461,-32003,104.99K,-0.82%,0.0054,140.05
2017-04-16,129.85,-10544,36511,-32425,40.86K,-6.52%,-0.008199999999999999,138.9
2017-04-23,131.05,8745,41964,-15056,0.45K,0.92%,-0.0652,129.85
2017-04-30,133.1,12654,50448,3586,0.04K,1.56%,0.0092,131.05
2017-05-07,132.6,10789,49844,16600,0.00K,-0.38%,0.015600000000000001,133.1
2017-05-14,132.1,13168,45493,21972,17.92K,-0.38%,-0.0038,132.6
2017-05-21,131.2,15986,39081,316,72.07K,-0.68%,-0.0038,132.1
2017-05-28,125.55000000000001,18852,40814,17929,78.16K,-4.31%,-0.0068000000000000005,131.2
2017-06-04,126.55000000000001,27011,36442,49153,106.35K,0.80%,-0.0431,125.55000000000001
2017-06-11,123.55000000000001,30665,35726,63072,112.43K,-2.37%,0.008,126.55000000000001
2017-06-18,119.95,35699,36702,86781,26.14K,-2.91%,-0.023700000000000002,123.55000000000001
2017-06-25,124.05,42454,50534,108781,0.15K,3.42%,-0.0291,119.95
2017-07-09,131.7,41057,52531,112519,0.01K,4.07%,0.0342,124.05
2017-07-16,136.55,30740,55933,107615,29.96K,3.68%,0.0407,131.7
2017-07-23,137.85,24703,50411,97280,103.50K,0.95%,0.0368,136.55
2017-07-30,140.15,14735,38477,72967,91.73K,1.67%,0.0095,137.85
2017-08-06,140.3,4560,31942,77075,129.38K,0.11%,0.0167,140.15
2017-08-13,128.05,4120,37738,109699,64.66K,-8.73%,0.0011,140.3
2017-08-20,130.2,19012,47550,126965,19.18K,1.68%,-0.0873,128.05
2017-08-27,127.75000000000001,26362,44976,120955,0.17K,-1.88%,0.0168,130.2
2017-09-03,129.4,31655,46814,111082,0.02K,1.29%,-0.018799999999999997,127.75000000000001
2017-09-10,140.0,32373,44934,95229,0.03K,8.19%,0.0129,129.4
2017-09-17,134.45,19273,38537,72037,57.44K,-3.96%,0.0819,140.0
2017-09-24,128.05,17872,32592,81896,81.18K,-4.76%,-0.039599999999999996,134.45
2017-10-01,130.0,31039,26378,101680,92.60K,1.52%,-0.047599999999999996,128.05
2017-10-08,126.44999999999999,33621,21136,99601,95.96K,-2.73%,0.0152,130.0
2017-10-15,125.25,42316,18264,112205,85.55K,-0.95%,-0.0273,126.44999999999999
2017-10-22,126.6,46967,8090,110112,80.03K,1.08%,-0.0095,125.25
2017-10-29,123.95,46469,6108,76987,128.79K,-2.09%,0.0108,126.6
2017-11-05,127.55000000000001,49399,1755,72483,143.58K,2.90%,-0.0209,123.95
2017-11-12,123.8,46599,-7428,26384,92.14K,-2.94%,0.028999999999999998,127.55000000000001
2017-11-19,124.8,48863,-5566,10452,12.64K,0.81%,-0.0294,123.8
2017-11-26,127.55000000000001,41862,-5446,-76,0.16K,2.20%,0.008100000000000001,124.8
2017-12-03,120.6,37420,1236,-923,0.53K,-5.45%,0.022000000000000002,127.55000000000001
2017-12-10,116.95,55491,16028,87486,0.03K,-3.03%,-0.0545,120.6
2017-12-17,120.39999999999999,58061,20052,105559,58.14K,2.95%,-0.030299999999999997,116.95
2017-12-24,126.2,58558,22776,82830,53.29K,4.82%,0.029500000000000002,120.39999999999999
2017-12-31,128.45,48883,19190,48747,109.99K,1.78%,0.0482,126.2
2018-01-07,122.24999999999999,42828,17947,28192,127.00K,-4.83%,0.0178,128.45
2018-01-14,121.24999999999999,55050,17209,96158,93.66K,-0.82%,-0.0483,122.24999999999999
2018-01-21,125.15,58970,10067,156307,104.80K,3.22%,-0.008199999999999999,121.24999999999999
2018-01-28,120.39999999999999,53965,2518,175421,129.16K,-3.80%,0.0322,125.15
2018-02-04,121.85,56600,-8196,161329,175.10K,1.20%,-0.038,120.39999999999999
2018-02-11,117.95,47736,-8505,148369,101.00K,-3.20%,0.012,121.85
2018-02-18,119.45000000000002,58554,-17414,146702,1.41K,1.27%,-0.032,117.95
2018-02-25,120.35,53355,-21856,164188,0.09K,0.75%,0.0127,119.45000000000002
2018-03-04,118.85,50727,-24007,129575,0.02K,-1.25%,0.0075,120.35
2018-03-11,116.95,52375,-33693,165613,0.03K,-1.60%,-0.0125,118.85
2018-03-18,117.19999999999999,57373,-33483,169338,67.86K,0.21%,-0.016,116.95
2018-03-25,118.15,55978,-35084,171832,70.21K,0.81%,0.0021,117.19999999999999
2018-04-01,117.45000000000002,61685,-37855,170926,138.38K,-0.59%,0.008100000000000001,118.15
2018-04-08,117.30000000000001,57444,-40329,170892,183.79K,-0.13%,-0.0059,117.45000000000002
2018-04-15,115.75,70577,-45330,163197,71.04K,-1.32%,-0.0013,117.30000000000001
2018-04-22,120.35,59134,-50999,171218,0.50K,3.97%,-0.0132,115.75
2018-04-29,120.45000000000002,45485,-48792,160786,0.03K,0.08%,0.0397,120.35
2018-05-06,115.25000000000001,41785,-48059,152887,0.04K,-4.32%,0.0008,120.45000000000002
2018-05-13,113.94999999999999,49735,-49985,150563,0.01K,-1.13%,-0.0432,115.25000000000001
2018-05-20,120.39999999999999,46710,-48900,111779,106.48K,5.66%,-0.0113,113.94999999999999
2018-05-27,122.75,45231,-48021,79590,125.02K,1.95%,0.056600000000000004,120.39999999999999
2018-06-03,117.25000000000001,37372,-37355,42291,188.29K,-4.48%,0.0195,122.75
2018-06-10,115.20000000000002,48050,-31434,46249,148.96K,-1.75%,-0.044800000000000006,117.25000000000001
2018-06-17,113.84999999999998,60409,-28653,48638,34.97K,-1.17%,-0.0175,115.20000000000002
2018-06-24,111.5,60736,-28883,30989,0.12K,-2.06%,-0.011699999999999999,113.84999999999998
2018-07-01,111.25,73139,-28274,61437,0.15K,-0.22%,-0.0206,111.5
2018-07-08,107.05,74448,-28309,69401,0.02K,-3.78%,-0.0022,111.25
2018-07-15,110.65,86413,-19507,102143,17.17K,3.36%,-0.0378,107.05
2018-07-22,110.45,89014,-9179,109235,100.67K,-0.18%,0.0336,110.65
2018-07-29,107.74999999999999,88624,-4124,140930,157.80K,-2.44%,-0.0018,110.45
2018-08-05,107.0,97098,7447,139700,182.00K,-0.70%,-0.024399999999999998,107.74999999999999
2018-08-12,101.2,100533,10531,154477,139.77K,-5.42%,-0.006999999999999999,107.0
2018-08-19,100.55000000000001,106105,9629,182028,41.24K,-0.64%,-0.0542,101.2
2018-08-26,98.1,101878,6089,192725,0.16K,-2.44%,-0.0064,100.55000000000001
2018-09-02,98.8,105336,7068,195701,0.01K,0.71%,-0.024399999999999998,98.1
2018-09-09,95.45,105874,2567,176749,0.02K,-3.39%,0.0070999999999999995,98.8
2018-09-16,99.9,113412,7263,124655,65.27K,4.66%,-0.0339,95.45
2018-09-23,102.45,109097,12233,147236,95.18K,2.55%,0.0466,99.9
2018-09-30,108.95000000000002,97175,25407,155317,160.66K,6.34%,0.0255,102.45
2018-10-07,116.55,86266,36814,97140,170.77K,6.98%,0.0634,108.95000000000002
2018-10-14,122.09999999999998,68110,44476,48046,190.71K,4.76%,0.0698,116.55
2018-10-21,119.65,51983,43276,9226,151.53K,-2.01%,0.047599999999999996,122.09999999999998
2018-10-28,120.04999999999998,44381,39370,-1792,186.23K,0.33%,-0.020099999999999996,119.65
2018-11-04,113.84999999999998,39372,28260,2719,177.12K,-5.16%,0.0033,120.04999999999998
2018-11-11,112.6,42214,23502,25168,86.51K,-1.10%,-0.0516,113.84999999999998
2018-11-18,107.15,38825,22020,41582,11.52K,-4.84%,-0.011000000000000001,112.6
2018-11-25,103.25,38971,23286,54171,0.12K,-3.64%,-0.0484,107.15
2018-12-02,98.8,48545,19325,53864,0.13K,-4.31%,-0.0364,103.25
2018-12-09,96.95,55103,19289,50758,0.06K,-1.87%,-0.0431,98.8
2018-12-16,99.7,60900,12383,77258,48.56K,2.84%,-0.0187,96.95
2019-01-06,103.85,62435,-211,103317,118.73K,2.21%,0.028399999999999998,99.7
2019-01-13,104.95000000000002,67827,-930,73210,103.63K,1.06%,0.022099999999999998,103.85
2019-01-20,106.80000000000001,61650,2004,67001,84.54K,1.76%,0.0106,104.95000000000002
2019-01-27,103.69999999999999,62109,1656,79381,119.46K,-2.90%,0.0176,106.80000000000001
2019-02-03,102.60000000000001,55235,11021,79271,151.76K,-1.06%,-0.028999999999999998,103.69999999999999
2019-02-10,97.95,61785,18615,80521,136.70K,-4.53%,-0.0106,102.60000000000001
2019-02-17,96.45,68971,15497,75789,14.09K,-1.53%,-0.0453,97.95
2019-02-24,96.95,74448,21738,65642,0.15K,0.52%,-0.015300000000000001,96.45
2019-03-03,95.3,75184,34485,94869,0.03K,-1.70%,0.0052,96.95
2019-03-10,94.6,78604,40655,135210,0.01K,-0.73%,-0.017,95.3
2019-03-17,93.9,74939,46084,123183,61.85K,-0.74%,-0.0073,94.6
2019-03-24,94.5,75387,54476,129328,125.35K,0.64%,-0.0074,93.9
2019-03-31,93.2,77303,45529,114099,190.77K,-1.38%,0.0064,94.5
2019-04-07,90.4,71151,26752,96849,207.34K,-3.00%,-0.0138,93.2
2019-04-14,90.2,79067,28429,93687,95.88K,-0.22%,-0.03,90.4
2019-04-21,92.7,75846,29328,77842,1.11K,2.77%,-0.0022,90.2
2019-04-28,89.25,70845,29338,93276,0.17K,-3.72%,0.0277,92.7
2019-05-05,89.45,78206,28427,125651,0.04K,0.22%,-0.037200000000000004,89.25
2019-05-12,87.35,73321,21810,159187,0.03K,-2.35%,0.0022,89.45
2019-05-19,93.3,70449,10119,191757,115.81K,6.81%,-0.0235,87.35
2019-05-26,104.60000000000001,62441,2584,195461,175.02K,12.11%,0.0681,93.3
2019-06-02,100.95,41112,1936,177742,230.37K,-3.49%,0.1211,104.60000000000001
2019-06-09,96.0,39364,-9862,143220,173.33K,-4.90%,-0.0349,100.95
2019-06-16,99.8,40168,-15223,108470,36.63K,3.96%,-0.049,96.0
2019-06-23,108.25,35576,-17972,94177,0.43K,8.47%,0.039599999999999996,99.8
2019-06-30,109.45,23405,-16867,91311,0.16K,1.11%,0.08470000000000001,108.25
2019-07-07,105.2,17803,-26629,89748,0.03K,-3.88%,0.0111,109.45
2019-07-14,105.85,20863,-17778,120012,0.01K,0.62%,-0.0388,105.2
2019-07-21,99.75,23668,-23091,167902,124.48K,-5.76%,0.0062,105.85
2019-07-28,98.15,32570,-18855,147109,117.97K,-1.60%,-0.0576,99.75
2019-08-04,97.3,36583,-1726,160407,143.64K,-0.87%,-0.016,98.15
2019-08-11,92.85,42071,16931,167652,105.67K,-4.57%,-0.0087,97.3
2019-08-18,92.6,47597,29036,173903,37.00K,-0.27%,-0.045700000000000005,92.85
2019-08-25,93.6,46149,32971,192195,0.07K,1.08%,-0.0027,92.6
2019-09-01,96.8,52009,36590,205028,-,3.42%,0.0108,93.6
2019-09-08,99.5,50302,35002,230686,0.00K,2.79%,0.0342,96.8
2019-09-15,98.4,42056,25702,245634,39.62K,-1.11%,0.0279,99.5
2019-09-22,100.9,42848,11453,218332,87.15K,2.54%,-0.0111,98.4
2019-09-29,99.0,40535,-3260,163276,97.17K,-1.88%,0.0254,100.9
2019-10-06,93.7,47787,-4440,183243,136.13K,-5.35%,-0.018799999999999997,99.0
2019-10-13,95.7,58424,-9620,186364,110.74K,2.13%,-0.0535,93.7
2019-10-20,99.45,55374,-7450,215539,117.61K,3.92%,0.0213,95.7
2019-10-27,104.0,50777,-8384,211500,144.99K,4.58%,0.0392,99.45
2019-11-03,109.45,39881,-12325,199668,229.73K,5.24%,0.0458,104.0
2019-11-10,106.15,16700,-21291,172993,122.58K,-3.02%,0.0524,109.45
2019-11-17,114.6,18838,-36008,133394,39.04K,7.96%,-0.0302,106.15
2019-11-24,118.55,7592,-39218,118387,0.11K,3.45%,0.0796,114.6
2019-12-01,123.70000000000002,956,-36061,103432,0.18K,4.34%,0.0345,118.55
2019-12-08,129.45,-14492,-36471,26279,0.15K,4.65%,0.0434,123.70000000000002
2019-12-15,130.7,-20049,-35315,4986,49.52K,0.97%,0.04650000000000001,129.45
2019-12-22,132.5,-21543,-18266,2713,72.09K,1.38%,0.0097,130.7
2019-12-29,126.34999999999998,-21628,-15710,10558,70.89K,-4.64%,0.0138,132.5
2020-01-05,118.95,-20907,-11695,21223,114.60K,-5.86%,-0.0464,126.34999999999998
2020-01-12,112.15000000000002,-16708,-12749,-35987,100.12K,-5.72%,-0.058600000000000006,118.95
2020-01-19,110.15000000000002,-13709,-22818,-70991,97.48K,-1.78%,-0.0572,112.15000000000002
2020-01-26,102.64999999999999,-6529,-31477,-85593,129.86K,-6.81%,-0.0178,110.15000000000002
2020-02-02,98.35,2097,-34296,-77637,147.84K,-4.19%,-0.0681,102.64999999999999
2020-02-09,109.1,14632,-42628,-91609,156.57K,10.93%,-0.04190000000000001,98.35
2020-02-16,108.85000000000001,16523,-40553,-98099,32.43K,-0.23%,0.1093,109.1
2020-02-23,110.1,16229,-41559,-117812,1.52K,1.15%,-0.0023,108.85000000000001
2020-03-01,105.60000000000001,3229,-33277,-74267,0.32K,-4.09%,0.0115,110.1
2020-03-08,107.05,1455,-21447,-26653,0.19K,1.37%,-0.0409,105.60000000000001
2020-03-15,119.7,3820,-4695,5519,24.90K,11.82%,0.0137,107.05
2020-03-22,115.84999999999998,-1942,6467,9897,111.20K,-3.22%,0.1182,119.7
2020-03-29,114.9,-8840,13955,17929,78.15K,-0.82%,-0.0322,115.84999999999998
2020-04-05,118.6,-8701,13123,32230,84.27K,3.22%,-0.008199999999999999,114.9
2020-04-12,116.04999999999998,-9819,15726,43151,55.64K,-2.15%,0.0322,118.6
2020-04-19,105.2,-10079,14233,60063,14.96K,-9.35%,-0.0215,116.04999999999998
2020-04-26,104.45,-6398,15734,75897,0.06K,-0.71%,-0.0935,105.2
2020-05-03,110.1,-3638,13791,54759,0.06K,5.41%,-0.0070999999999999995,104.45
2020-05-10,104.80000000000001,-5283,13447,45763,0.07K,-4.81%,0.0541,110.1
2020-05-17,103.60000000000001,-4629,14201,23694,61.67K,-1.15%,-0.0481,104.80000000000001
2020-05-24,96.3,-47,16190,5381,84.16K,-7.05%,-0.0115,103.60000000000001
2020-05-31,98.9,11163,13403,733,92.38K,2.70%,-0.0705,96.3
2020-06-07,95.2,17489,9799,-9547,119.56K,-3.74%,0.027000000000000003,98.9
2020-06-14,93.75,24153,13653,-22628,78.09K,-1.52%,-0.0374,95.2
2020-06-21,95.65,27669,14227,-40081,0.39K,2.03%,-0.0152,93.75
2020-06-28,102.25,25214,15022,-45920,0.03K,6.90%,0.0203,95.65
2020-07-05,96.15,23843,23745,-62315,0.05K,-5.97%,0.069,102.25
2020-07-12,101.05,23722,30406,-55962,-,5.10%,-0.059699999999999996,96.15
